-999,-3.05,156.54
1.3414285714285717e-10,-1.85,82.86
6.33e-11,1.47,-113.62
-999,3.63,123.56
1.1046250000000001e-10,4.06,99.0
9.1375e-11,4.94,49.86
7.370000000000001e-11,6.72,-48.4
7.654999999999998e-11,8.55,-146.69
1.3624285714285717e-10,10.41,115.02
1.2517142857142856e-10,11.35,65.87
-999,15.7,-155.36
-999,16.19,180.06
-999,17.68,106.3
-999,18.18,81.71
-999,22.25,-115.04
-999,22.76,-139.64
1.32875e-10,40.26,127.68
-999,40.78,103.02
1.3365e-10,55.11,106.72
-999,58.5,-91.3
-999,64.32,-127.86
9.393333333333334e-11,64.64,-152.68
-999,68.29,-115.23
1.0545e-10,69.9,71.06
9.393333333333334e-11,70.33,21.42
-999,71.13,-77.84
-999,72.98,9.36
-999,74.34,121.58
-999,74.45,96.85
-999,75.22,-76.36
-999,76.05,61.24
-999,76.54,-86.9
9.69e-11,77.04,100.47
-999,77.17,51.22
-999,77.3,1.93
-999,77.48,-71.94
1.1126666666666666e-10,77.71,-170.35
-999,77.88,115.82
-999,77.92,91.27
-999,78.03,42.1
3.932e-10,78.62,82.95
2.4666666666666664e-10,78.75,9.35
2.6999999999999998e-09,78.87,-64.19
1.400666666666667e-10,78.91,-88.69
-999,79.13,124.33
-999,79.16,99.88
-999,79.19,75.43
-999,79.23,50.94
-999,79.52,-169.16
-999,79.58,141.94
-999,79.62,117.51
2.4175e-10,79.7,44.25
-999,79.84,-77.83
1.1551e-10,79.87,-102.22
-999,80.51,-64.38
-999,-50.41,29.41
-999,-51.52,-164.69
-999,-52.04,98.23
3.3781999999999996e-11,-52.51,1.12
-999,-53.49,142.56
-999,-58.45,167.0
9.625e-11,-59.18,112.98
8.84e-11,-59.22,88.63
-999,-59.41,-33.19
-999,-59.48,-81.91
-999,-59.55,-130.64
-999,-59.62,-179.38
-999,-59.66,156.26
-999,-59.77,83.16
-999,-59.84,34.42
-999,-60.27,77.6
-999,-60.3,53.22
4.555e-11,-60.33,28.84
1.1105000000000001e-10,-60.36,4.46
-999,-60.46,-68.66
4.045e-11,-60.49,-93.04
5.625e-11,-61.47,109.12
3.98e-11,-61.49,84.73
3.8433333333333335e-11,-61.52,60.33
1.99e-11,-61.76,176.39
6.605e-11,-61.83,103.21
-999,-61.85,78.81
-999,-61.87,54.42
4.98e-11,-61.96,-43.17
3.263333333333333e-11,-61.99,-67.57
6.6e-11,-62.01,-91.97
-999,-62.09,170.43
-999,-62.46,115.59
-999,-62.47,91.19
8.85e-11,-62.51,42.37
3.253333333333333e-11,-62.58,-30.84
3.223333333333333e-11,-62.62,-79.65
6.3425e-11,-62.69,-177.29
-999,-62.71,158.31
9.215e-11,-62.73,133.9
-999,-62.77,85.08
3.7282499999999995e-11,-62.83,11.85
4.64e-11,-62.85,-12.56
-999,-62.87,-36.97
-999,-62.91,-85.79
-999,-62.92,-110.21
-999,-63.02,127.74
-999,-63.05,78.91
-999,-63.13,-18.74
9.21e-11,-63.15,-43.16
-999,-63.16,-67.57
3.976333333333334e-11,-63.23,-165.23
4.553333333333334e-11,-63.25,170.35
-999,-63.3,97.1
-999,-63.32,72.69
-999,-63.36,23.85
-999,-63.39,-24.98
4.4766666666666666e-11,-63.44,-98.24
-999,-63.5,-171.49
4.0166666666666664e-11,-63.51,164.09
-999,-63.53,139.67
1.6116666666666663e-11,-63.65,-31.27
-999,-63.68,-80.12
-999,-63.7,-104.54
4.492666666666667e-11,-63.73,-153.38
-999,-63.76,157.77
-999,-63.8,108.93
8.895e-11,-63.81,84.5
-999,-63.89,-37.61
-999,-63.91,-62.04
5.743333333333334e-11,-63.97,-159.75
7.539999999999999e-11,-63.99,175.83
-999,-64.0,151.41
-999,-64.02,126.98
-999,-64.04,102.55
-999,-64.05,78.13
3.5633333333333336e-11,-64.08,29.27
8.815e-11,-64.11,-19.58
-999,-64.13,-44.01
-999,-64.19,-141.73
-999,-64.28,71.7
-999,-64.4,-123.76
-999,-64.41,-148.19
4.1633333333333334e-11,-64.46,138.52
3.93e-11,-64.55,-8.08
1.1955e-10,-64.57,-56.95
6.450000000000001e-11,-64.59,-81.39
-999,-64.62,-130.26
-999,-64.63,-154.69
-999,-64.69,107.56
-999,-64.7,83.13
-999,-64.74,9.81
4.0999999999999994e-11,-64.78,-63.5
-999,-64.8,-87.94
-999,-64.82,-136.82
-999,-64.89,100.99
-999,-64.9,76.55
-999,-65.02,-143.43
-999,-65.04,-167.87
-999,-65.2,-125.65
-999,-65.21,-150.09
-999,-65.22,-174.54
-999,-65.37,-132.37
-999,44.35,4.38
-999,44.99,-45.01
-999,45.92,-119.09
1.5338333333333334e-10,47.13,142.11
-999,47.42,117.4
1.0971666666666667e-10,48.0,67.99
1.1013333333333334e-10,48.56,18.59
6.5386e-11,49.37,-55.52
-999,51.16,131.52
-2.0666666666666673e-12,63.86,74.76
-999,65.54,-11.99
-999,65.63,-36.82
-999,66.36,74.78
-999,66.49,25.1
-999,66.62,-24.59
-999,66.68,-49.44
-2.033333333333334e-11,66.74,-74.29
-999,67.35,-12.53
-999,67.47,-87.11
2.8133333333333332e-11,67.51,-111.97
-999,67.66,148.6
8.425e-09,67.69,123.74
-999,67.72,98.87
-2.7940000000000004e-10,67.75,74.0
1.2350000000000001e-10,68.1,-26.32
-999,68.09,-51.17
-999,68.08,-76.02
-3.0760000000000005e-11,68.0,134.91
7.733333333333334e-11,67.97,85.22
-999,67.91,10.7
-999,67.86,-38.96
6.046666666666667e-11,67.84,-63.79
-999,67.81,-88.63
-999,67.73,-163.12
-999,67.7,172.05
-999,67.67,147.23
-999,67.64,122.41
-999,67.58,72.75
-999,67.54,47.93
-999,67.51,23.11
-2.2e-09,67.48,-1.7
-999,66.79,-38.58
8.22e-11,66.74,-63.37
-999,66.58,-137.74
-999,66.53,-162.53
-999,66.31,98.35
-999,66.19,48.79
-2.0500000000000002e-10,66.02,-25.52
-999,65.96,-50.28
-999,65.7,-149.35
-999,65.64,-174.11
-999,65.51,136.38
-999,65.44,111.63
-999,65.3,62.11
1.3299999999999997e-09,65.16,12.61
-999,64.88,-86.36
-999,64.8,-111.1
3.1049999999999996e-10,64.65,-160.58
-999,64.58,174.69
-999,64.5,149.95
-999,64.43,125.22
-999,64.27,75.76
-999,64.19,51.03
-999,64.11,26.3
-999,64.03,1.58
-999,63.79,-72.58
-999,63.71,-97.3
-999,63.37,163.84
-999,63.29,139.13
-999,63.2,114.43
-999,63.11,89.72
4.317e-11,62.93,40.3
-1.5499999999999998e-11,62.85,15.6
-999,62.67,-33.8
-999,62.58,-58.5
-999,62.3,-132.59
-999,61.83,103.97
3.050000000000001e-10,61.54,29.91
-999,61.35,-19.45
-999,61.05,-93.48
-999,60.95,-118.16
2.5133333333333334e-10,60.64,167.83
-999,60.23,69.15
-999,60.12,44.49
-999,59.8,-29.49
-999,59.7,-54.15
-999,59.59,-78.81
-999,59.37,-128.13
-999,58.59,59.31
-999,58.36,10.02
-999,58.02,-63.91
-999,57.79,-113.19
-2.0060000000000003e-09,57.67,-137.84
-999,57.07,98.99
-999,56.71,25.09
-999,56.22,-73.42
-999,55.21,89.59
-999,54.94,40.35
4.699999999999999e-11,54.81,15.74
-999,54.16,-107.33
-999,53.88,-156.56
-999,53.34,105.01
-999,53.21,80.4
-999,53.07,55.79
-999,52.51,-42.62
1.0966666666666666e-10,52.23,-91.83
5.64e-10,50.92,46.78
-999,50.78,22.19
-999,48.48,13.35
-999,46.2,29.21
-999,-32.3,148.68
-999,-33.51,25.96
-999,-33.75,1.42
-999,-33.98,-23.12
-999,-34.45,-72.21
-999,-36.05,115.98
-999,-36.28,91.44
-999,-36.5,66.89
-999,-37.81,-80.39
-999,-39.3,107.77
-999,-42.89,25.82
-999,-43.07,1.26
-999,-43.26,-23.29
-999,-44.19,-146.08
-999,-44.56,164.8
-999,-44.74,140.24
-999,-44.92,115.68
-999,-52.88,-8.48
-999,-53.17,-57.66
-999,-54.17,130.18
-999,-54.31,105.58
-999,-54.45,80.98
8.525e-11,-54.87,7.18
-999,-55.27,-66.63
-999,-55.41,-91.24
-999,-55.54,-115.84
-999,-56.2,121.12
-999,-58.6,13.32
-999,-58.72,-11.31
-999,-59.43,-159.12
-999,-59.55,176.24
-999,-59.78,126.96
-999,-59.89,102.31
-999,-61.34,141.84
-999,-61.44,117.18
-999,-61.55,92.51
-999,-61.66,67.85
-999,-61.87,18.52
-999,-62.38,-104.84
-999,-62.49,-129.52
-999,-62.59,-154.19
-999,-62.88,131.77
-999,-62.98,107.08
-999,-64.92,-51.64
-999,-65.34,-175.26
-999,-65.9,11.6
